,deal_id,deal_size,deal_date,ceo_id,network,smile,tweet_count,ebk_v,ebk_a,ebk_d
783,183834-10T,17.39,22-Nov-2021,204149-89P,4313.0,affiliative,328.0,0.517992615699768,0.520882368087769,0.53931188583374
784,180171-73T,17.41,15-Sep-2021,242090-65P,1841.0,affiliative,652.0,0.504843711853027,0.513978242874146,0.529863834381104
785,169472-26T,17.48,19-Mar-2021,158206-06P,739.0,rewarding,78.0,0.521167635917664,0.519897937774658,0.538122296333313
786,171652-24T,17.51,05-May-2021,123117-13P,57318.0,rewarding,76.0,0.508053600788117,0.516645312309265,0.531159996986389
787,176463-37T,17.55,22-Jun-2021,38938-78P,251.0,rewarding,68.0,0.498193860054016,0.514345347881317,0.536336660385132
788,169759-09T,17.64,31-Mar-2021,145659-34P,217.0,,3.0,0.501282632350922,0.506881713867188,0.539432942867279
789,180214-93T,17.64,16-Sep-2021,245852-65P,1566.0,dominant,553.0,0.508687019348145,0.516251564025879,0.534030020236969
790,170900-20T,17.69,22-Apr-2021,139510-54P,298.0,dominant,11.0,0.518663942813873,0.529381334781647,0.542893528938294
791,187698-34T,17.71,17-Dec-2021,266170-60P,213.0,rewarding,5.0,0.51787531375885,0.521319687366486,0.545465886592865
792,185199-76T,17.71,15-Dec-2021,168308-38P,598.0,dominant,6.0,0.520548403263092,0.527567565441132,0.546065509319305
793,185599-27T,17.72,22-Dec-2021,169430-23P,1209.0,affiliative,10.0,0.528113126754761,0.525640487670898,0.547510802745819
794,125750-89T,17.73,09-Mar-2021,147951-37P,479.0,dominant,6.0,0.504679203033447,0.508665025234222,0.521466195583344
795,173438-83T,17.75,21-Jun-2021,43627-51P,1543.0,rewarding,46.0,0.514072716236115,0.521923661231995,0.538795530796051
796,172291-33T,17.79,18-May-2021,239992-57P,444.0,affiliative,3.0,0.500610768795013,0.532944977283478,0.545438647270203
797,183009-16T,17.95,28-Oct-2021,210009-61P,1342.0,,240.0,0.505930662155151,0.518007457256317,0.534243404865265
798,183428-92T,18.14,15-Nov-2021,60335-47P,1740.0,affiliative,20.0,0.499626159667969,0.518797338008881,0.528946220874786
799,183504-61T,18.16,16-Nov-2021,232592-23P,4963.0,dominant,75.0,0.520692110061646,0.515740811824799,0.537727653980255
800,171558-82T,18.18,04-May-2021,99613-27P,1865.0,dominant,10.0,0.512150645256043,0.527418911457062,0.545800387859345
801,183700-63T,18.19,18-Nov-2021,61713-10P,78.0,rewarding,6.0,0.519386649131775,0.526284158229828,0.536294043064117
802,183148-03T,18.19,09-Nov-2021,238753-27P,198.0,rewarding,1.0,0.516086518764496,0.510243475437164,0.515689194202423
803,184306-60T,18.38,29-Nov-2021,237799-27P,159.0,dominant,19.0,0.518921554088593,0.520776808261871,0.541676640510559
804,169649-92T,18.41,16-Apr-2021,61922-44P,629.0,rewarding,363.0,0.513327181339264,0.516825079917908,0.536623477935791
805,165642-67T,18.50,26-Jan-2021,223702-03P,536.0,rewarding,169.0,0.512267649173737,0.512231230735779,0.531121492385864
806,175372-84T,18.60,05-Aug-2021,216635-14P,251.0,rewarding,21.0,0.528574466705322,0.522050738334656,0.541231393814087
807,185421-97T,18.61,20-Dec-2021,183584-17P,293.0,rewarding,26.0,0.521933913230896,0.524271845817566,0.541116952896118
808,181705-96T,18.63,13-Oct-2021,65342-98P,8204.0,rewarding,534.0,0.501170814037323,0.514563143253326,0.532008409500122
809,178186-24T,18.64,12-Aug-2021,206626-78P,791.0,dominant,143.0,0.51592892408371,0.517000019550324,0.536621034145355
810,180044-65T,18.68,09-Sep-2021,75069-10P,353.0,rewarding,4.0,0.498510479927063,0.512014865875244,0.529215693473816
811,179180-65T,18.69,30-Aug-2021,201087-10P,12027.0,rewarding,26.0,0.511020243167877,0.519284307956696,0.530320346355438
812,181697-68T,18.86,13-Oct-2021,237081-79P,399.0,dominant,4.0,0.529331505298615,0.517500400543213,0.543820559978485
813,182272-06T,18.95,26-Oct-2021,36085-51P,9738.0,,361.0,0.507441401481628,0.515821278095245,0.531650841236115
814,183219-76T,18.97,10-Nov-2021,40342-15P,2820.0,dominant,390.0,0.506023049354553,0.516948819160461,0.532692849636078
815,166999-60T,19.01,18-Feb-2021,86608-36P,2437.0,affiliative,1.0,0.521620392799377,0.524000287055969,0.527475893497467
816,171031-69T,19.03,03-Aug-2021,74135-53P,392.0,dominant,9.0,0.501705884933472,0.504774630069733,0.532293081283569
817,180059-14T,19.09,13-Sep-2021,107291-71P,118.0,rewarding,0.0,,,
